MACKIN SCHOOL CUSTOMER CODE	SCHOOL CODE	MACKIN SCHOOL CODE	MACKIN SCHOOL NAME
32864	670	15347	ROSEBANK ELEMENTARY
32865	681	9491	ROSS EARLY LEARNING CENTER
32866	522	15348	RUBY MAJOR ELEMENTARY
32867	682	15349	SHAYNE ELEMENTARY
32868	685	15350	SHWAB ELEMENTARY
48752	686	18097	SMITH SPRINGS ELEMENTARY
32869	690	15351	STANFORD MONTESSORI ELEMENTARY
32870	705	15352	STRATFORD HIGH SCHOOL &amp; LOWER SCHOOL
32707	705	#N/A	STRATFORD STEM LOWER SCHOOL DO NOT USE
32871	710	15353	STRATTON ELEMENTARY
32872	715	15354	SYLVAN PARK ELEMENTARY
82678	748	#N/A	THE COHN LEARNING CENTER
32891	575	15355	THOMAS EDISON ELEMENTARY
32873	495	15356	TOM JOY ELEMENTARY
32874	717	15357	TULIP GROVE ELEMENTARY
32875	725	15358	TUSCULUM ELEMENTARY
32734	730	15359	TWO RIVERS MIDDLE SCHOOL
32876	735	10240	UNA ELEMENTARY
76263	116	36449	W A BASS LEARNING CENTER
32877	755	15360	WARNER ARTS MAGNET ELEMENTARY
32780	805	15365	WRIGHT MIDDLE SCHOOL
48753	765	18096	WAVERLY-BELMONT ELEMENTARY
32878	770	15361	WEST END MIDDLE SCHOOL
32879	775	15362	WESTMEADE ELEMENTARY
32880	787	15363	WHITES CREEK HIGH SCHOOL
32881	790	15364	WHITSITT ELEMENTARY
